     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .4806633D+01  0.6956869D-09  0.6043539D-19  0.1000000D+01  0.3409758D-06  0.2080654D+01  0.4324504D+00  0.5675494D+00  0.1955179D-11  0.1000000D-29
 .4771736D+01  0.6962582D-09  0.5956092D-19  0.1000000D+01  0.3335970D-06  0.2095875D+01  0.4319857D+00  0.5680142D+00  0.1939950D-11  0.1000000D-29
 .4736975D+01  0.6968363D-09  0.5869619D-19  0.1000000D+01  0.3263536D-06  0.2111259D+01  0.4315158D+00  0.5684841D+00  0.1924828D-11  0.1000000D-29
 .4702348D+01  0.6974214D-09  0.5784108D-19  0.1000000D+01  0.3192431D-06  0.2126810D+01  0.4310405D+00  0.5689594D+00  0.1909813D-11  0.1000000D-29
 .4667853D+01  0.6980136D-09  0.5699546D-19  0.1000000D+01  0.3122631D-06  0.2142531D+01  0.4305598D+00  0.5694401D+00  0.1894903D-11  0.1000000D-29
 .4638389D+01  0.6985270D-09  0.5627810D-19  0.1000000D+01  0.3063823D-06  0.2156145D+01  0.4301435D+00  0.5698564D+00  0.1882206D-11  0.1000000D-29
 .4604132D+01  0.6991327D-09  0.5544978D-19  0.1000000D+01  0.2996384D-06  0.2172192D+01  0.4296525D+00  0.5703474D+00  0.1867489D-11  0.1000000D-29
 .4570002D+01  0.6997459D-09  0.5463060D-19  0.1000000D+01  0.2930184D-06  0.2188420D+01  0.4291559D+00  0.5708440D+00  0.1852873D-11  0.1000000D-29
 .4535994D+01  0.7003666D-09  0.5382044D-19  0.1000000D+01  0.2865200D-06  0.2204832D+01  0.4286535D+00  0.5713464D+00  0.1838357D-11  0.1000000D-29
 .4506942D+01  0.7009048D-09  0.5313311D-19  0.1000000D+01  0.2810451D-06  0.2219049D+01  0.4282182D+00  0.5717817D+00  0.1825994D-11  0.1000000D-29
 .4473158D+01  0.7015400D-09  0.5233939D-19  0.1000000D+01  0.2747668D-06  0.2235814D+01  0.4277049D+00  0.5722950D+00  0.1811662D-11  0.1000000D-29
 .4439490D+01  0.7021831D-09  0.5155436D-19  0.1000000D+01  0.2686040D-06  0.2252774D+01  0.4271854D+00  0.5728144D+00  0.1797427D-11  0.1000000D-29
 .4410724D+01  0.7027408D-09  0.5088830D-19  0.1000000D+01  0.2634119D-06  0.2267471D+01  0.4267353D+00  0.5732645D+00  0.1785302D-11  0.1000000D-29
 .4377268D+01  0.7033991D-09  0.5011911D-19  0.1000000D+01  0.2574579D-06  0.2284807D+01  0.4262044D+00  0.5737955D+00  0.1771245D-11  0.1000000D-29
 .4348680D+01  0.7039700D-09  0.4946646D-19  0.1000000D+01  0.2524419D-06  0.2299833D+01  0.4257443D+00  0.5742556D+00  0.1759270D-11  0.1000000D-29
 .4315427D+01  0.7046439D-09  0.4871271D-19  0.1000000D+01  0.2466900D-06  0.2317560D+01  0.4252014D+00  0.5747984D+00  0.1745386D-11  0.1000000D-29
 .4282281D+01  0.7053265D-09  0.4796714D-19  0.1000000D+01  0.2410441D-06  0.2335505D+01  0.4246521D+00  0.5753478D+00  0.1731593D-11  0.1000000D-29
 .4253953D+01  0.7059185D-09  0.4733449D-19  0.1000000D+01  0.2362878D-06  0.2351063D+01  0.4241759D+00  0.5758240D+00  0.1719843D-11  0.1000000D-29
 .4225701D+01  0.7065170D-09  0.4670771D-19  0.1000000D+01  0.2316067D-06  0.2366787D+01  0.4236947D+00  0.5763052D+00  0.1708159D-11  0.1000000D-29
 .4192832D+01  0.7072238D-09  0.4598378D-19  0.1000000D+01  0.2262392D-06  0.2385348D+01  0.4231269D+00  0.5768730D+00  0.1694610D-11  0.1000000D-29
 .4164737D+01  0.7078369D-09  0.4536947D-19  0.1000000D+01  0.2217176D-06  0.2401445D+01  0.4226347D+00  0.5773652D+00  0.1683066D-11  0.1000000D-29
 .4132049D+01  0.7085609D-09  0.4465992D-19  0.1000000D+01  0.2165330D-06  0.2420449D+01  0.4220539D+00  0.5779460D+00  0.1669680D-11  0.1000000D-29
 .4104106D+01  0.7091890D-09  0.4405780D-19  0.1000000D+01  0.2121656D-06  0.2436935D+01  0.4215502D+00  0.5784496D+00  0.1658274D-11  0.1000000D-29
 .4076231D+01  0.7098242D-09  0.4346121D-19  0.1000000D+01  0.2078676D-06  0.2453606D+01  0.4210412D+00  0.5789587D+00  0.1646931D-11  0.1000000D-29
 .4043793D+01  0.7105745D-09  0.4277211D-19  0.1000000D+01  0.2029399D-06  0.2473296D+01  0.4204404D+00  0.5795594D+00  0.1633775D-11  0.1000000D-29
 .4016060D+01  0.7112255D-09  0.4218731D-19  0.1000000D+01  0.1987891D-06  0.2490382D+01  0.4199195D+00  0.5800804D+00  0.1622566D-11  0.1000000D-29
 .3988391D+01  0.7118840D-09  0.4160786D-19  0.1000000D+01  0.1947046D-06  0.2507665D+01  0.4193928D+00  0.5806071D+00  0.1611417D-11  0.1000000D-29
 .3960784D+01  0.7125501D-09  0.4103371D-19  0.1000000D+01  0.1906854D-06  0.2525151D+01  0.4188604D+00  0.5811395D+00  0.1600329D-11  0.1000000D-29
 .3928654D+01  0.7133369D-09  0.4037050D-19  0.1000000D+01  0.1860778D-06  0.2545812D+01  0.4182319D+00  0.5817680D+00  0.1587468D-11  0.1000000D-29
 .3901178D+01  0.7140199D-09  0.3980765D-19  0.1000000D+01  0.1821971D-06  0.2563749D+01  0.4176867D+00  0.5823132D+00  0.1576508D-11  0.1000000D-29
 .3873761D+01  0.7147109D-09  0.3924994D-19  0.1000000D+01  0.1783787D-06  0.2581902D+01  0.4171355D+00  0.5828644D+00  0.1565607D-11  0.1000000D-29
 .3846401D+01  0.7154100D-09  0.3869731D-19  0.1000000D+01  0.1746220D-06  0.2600276D+01  0.4165781D+00  0.5834218D+00  0.1554765D-11  0.1000000D-29
 .3819097D+01  0.7161173D-09  0.3814973D-19  0.1000000D+01  0.1709259D-06  0.2618874D+01  0.4160145D+00  0.5839854D+00  0.1543980D-11  0.1000000D-29
 .3791849D+01  0.7168331D-09  0.3760713D-19  0.1000000D+01  0.1672896D-06  0.2637702D+01  0.4154445D+00  0.5845554D+00  0.1533253D-11  0.1000000D-29
 .3764654D+01  0.7175574D-09  0.3706949D-19  0.1000000D+01  0.1637123D-06  0.2656764D+01  0.4148681D+00  0.5851318D+00  0.1522583D-11  0.1000000D-29
 .3737513D+01  0.7182905D-09  0.3653675D-19  0.1000000D+01  0.1601932D-06  0.2676067D+01  0.4142851D+00  0.5857148D+00  0.1511969D-11  0.1000000D-29
 .3710423D+01  0.7190323D-09  0.3600887D-19  0.1000000D+01  0.1567314D-06  0.2695614D+01  0.4136954D+00  0.5863045D+00  0.1501412D-11  0.1000000D-29
 .3683384D+01  0.7197833D-09  0.3548580D-19  0.1000000D+01  0.1533262D-06  0.2715411D+01  0.4130989D+00  0.5869010D+00  0.1490910D-11  0.1000000D-29
 .3656395D+01  0.7205433D-09  0.3496752D-19  0.1000000D+01  0.1499769D-06  0.2735465D+01  0.4124955D+00  0.5875044D+00  0.1480465D-11  0.1000000D-29
 .3633941D+01  0.7211839D-09  0.3453923D-19  0.1000000D+01  0.1472278D-06  0.2752375D+01  0.4119872D+00  0.5880126D+00  0.1471802D-11  0.1000000D-29
 .3607041D+01  0.7219612D-09  0.3402960D-19  0.1000000D+01  0.1439788D-06  0.2772912D+01  0.4113708D+00  0.5886290D+00  0.1461457D-11  0.1000000D-29
 .3580188D+01  0.7227483D-09  0.3352464D-19  0.1000000D+01  0.1407835D-06  0.2793721D+01  0.4107471D+00  0.5892527D+00  0.1451167D-11  0.1000000D-29
 .3553381D+01  0.7235451D-09  0.3302431D-19  0.1000000D+01  0.1376413D-06  0.2814808D+01  0.4101160D+00  0.5898838D+00  0.1440932D-11  0.1000000D-29
 .3531076D+01  0.7242168D-09  0.3261089D-19  0.1000000D+01  0.1350627D-06  0.2832598D+01  0.4095844D+00  0.5904155D+00  0.1432444D-11  0.1000000D-29
 .3504352D+01  0.7250322D-09  0.3211896D-19  0.1000000D+01  0.1320157D-06  0.2854212D+01  0.4089393D+00  0.5910605D+00  0.1422308D-11  0.1000000D-29
 .3477672D+01  0.7258580D-09  0.3163157D-19  0.1000000D+01  0.1290199D-06  0.2876121D+01  0.4082865D+00  0.5917134D+00  0.1412226D-11  0.1000000D-29
 .3455471D+01  0.7265543D-09  0.3122884D-19  0.1000000D+01  0.1265618D-06  0.2894610D+01  0.4077364D+00  0.5922635D+00  0.1403866D-11  0.1000000D-29
 .3428869D+01  0.7273996D-09  0.3074968D-19  0.1000000D+01  0.1236579D-06  0.2917081D+01  0.4070689D+00  0.5929310D+00  0.1393882D-11  0.1000000D-29
 .3406733D+01  0.7281124D-09  0.3035378D-19  0.1000000D+01  0.1212755D-06  0.2936047D+01  0.4065064D+00  0.5934935D+00  0.1385603D-11  0.1000000D-29
 .3380207D+01  0.7289781D-09  0.2988274D-19  0.1000000D+01  0.1184612D-06  0.2959101D+01  0.4058236D+00  0.5941762D+00  0.1375718D-11  0.1000000D-29
 .3358133D+01  0.7297081D-09  0.2949356D-19  0.1000000D+01  0.1161528D-06  0.2978564D+01  0.4052482D+00  0.5947517D+00  0.1367521D-11  0.1000000D-29
 .3331681D+01  0.7305948D-09  0.2903056D-19  0.1000000D+01  0.1134262D-06  0.3002228D+01  0.4045497D+00  0.5954502D+00  0.1357733D-11  0.1000000D-29
 .3309667D+01  0.7313427D-09  0.2864804D-19  0.1000000D+01  0.1111899D-06  0.3022209D+01  0.4039609D+00  0.5960390D+00  0.1349618D-11  0.1000000D-29
